rank,feature,coefficient,abs_importance
1,categorical__shipping_mode_First Class,1.9045283662107402,1.9045283662107402
2,categorical__shipping_mode_Same Day,-1.4410882998710843,1.4410882998710843
3,categorical__order_country_Haití,1.385916232435839,1.385916232435839
4,categorical__order_city_Surat,1.270593774793408,1.270593774793408
5,categorical__order_country_Uruguay,1.145144880898462,1.145144880898462
6,categorical__order_city_Jeddah,1.1206862613547934,1.1206862613547934
7,categorical__order_city_Carrefour,-1.0959775151257216,1.0959775151257216
8,categorical__order_city_Naples,-1.039500956393388,1.039500956393388
9,categorical__order_city_Montpellier,1.0301360421825543,1.0301360421825543
10,categorical__order_city_Aurora,0.9969543039195495,0.9969543039195495
11,categorical__order_city_Brindisi,-0.97324395562524,0.97324395562524
12,categorical__order_city_San Francisco de Macorís,0.9713392437593733,0.9713392437593733
13,categorical__order_city_Dar es Salaam,-0.9439033695349507,0.9439033695349507
14,categorical__order_city_San Martín,-0.9317904419710028,0.9317904419710028
15,categorical__order_city_Abidjan,0.9175980288776887,0.9175980288776887
16,categorical__order_country_Zambia,0.9100246823753755,0.9100246823753755
17,categorical__order_city_Villahermosa,-0.9038448264710226,0.9038448264710226
18,categorical__order_city_Montevideo,-0.8894844754764801,0.8894844754764801
19,categorical__order_city_Stoke-on-Trent,0.8839461636742081,0.8839461636742081
20,categorical__order_city_Tuxtla Gutiérrez,-0.8788425736924296,0.8788425736924296
21,categorical__product_id_977,0.8719730554693906,0.8719730554693906
22,categorical__order_city_Florence,-0.8716054900283973,0.8716054900283973
23,categorical__order_city_Granada,0.8644520889720649,0.8644520889720649
24,categorical__order_country_SudAfrica,-0.8598209611798971,0.8598209611798971
25,categorical__order_city_Caracas,-0.8571696307126027,0.8571696307126027
26,categorical__order_region_Southern Africa,0.8532255415311062,0.8532255415311062
27,categorical__order_country_Marruecos,-0.8412757343739217,0.8412757343739217
28,categorical__order_city_Riyadh,0.8302910520665391,0.8302910520665391
29,categorical__order_city_Geelong,0.8185461965965853,0.8185461965965853
30,categorical__order_city_São Miguel dos Campos,-0.7912417872640758,0.7912417872640758
31,categorical__order_city_Mérida,-0.7700052113999799,0.7700052113999799
32,categorical__order_city_Basra,0.757191461264578,0.757191461264578
33,categorical__order_city_Le Havre,0.7548408062487313,0.7548408062487313
34,categorical__order_city_Poza Rica de Hidalgo,-0.7460378306005263,0.7460378306005263
35,categorical__order_city_Maracaibo,-0.7377785354412508,0.7377785354412508
36,categorical__order_city_Casablanca,0.7339235462718449,0.7339235462718449
37,categorical__order_city_Hanoi,-0.7192323588880413,0.7192323588880413
38,categorical__order_country_Ecuador,0.7127659353454333,0.7127659353454333
39,categorical__order_city_Vassouras,0.7080405094094198,0.7080405094094198
40,categorical__order_city_Ballarat,0.7075392290687004,0.7075392290687004
41,categorical__order_city_Gaziantep,-0.7052232219007313,0.7052232219007313
42,categorical__order_city_Budapest,-0.7031168978592518,0.7031168978592518
43,categorical__order_city_Rosario,0.698081366922034,0.698081366922034
44,categorical__order_city_Estocolmo,0.6956004801979615,0.6956004801979615
45,categorical__product_id_885,0.6902085304087273,0.6902085304087273
46,categorical__order_country_Dinamarca,-0.6870516162746495,0.6870516162746495
47,categorical__order_city_Apopa,0.6738499687363708,0.6738499687363708
48,categorical__order_city_Chongqing,-0.6682713156528626,0.6682713156528626
49,categorical__order_city_Dakar,-0.6568109881468267,0.6568109881468267
50,categorical__order_city_Copenhagen,0.6530112695999472,0.6530112695999472
51,categorical__product_id_797,0.652381470480185,0.652381470480185
52,categorical__order_country_Jamaica,-0.6521396072112305,0.6521396072112305
53,categorical__order_country_República Checa,0.651220423001768,0.651220423001768
54,categorical__order_city_Ibadan,0.6440892776897104,0.6440892776897104
55,categorical__order_city_Pekín,-0.6421781508807047,0.6421781508807047
56,categorical__order_city_Caloundra,0.6413286097140607,0.6413286097140607
57,categorical__order_city_Bangalore,0.6187908773147714,0.6187908773147714
58,categorical__shipping_mode_Standard Class,-0.6098487733161383,0.6098487733161383
59,categorical__order_city_Toluca,-0.6085985987820887,0.6085985987820887
60,categorical__order_country_Finlandia,-0.5997858765580569,0.5997858765580569
61,categorical__order_country_Israel,0.5864285004256825,0.5864285004256825
62,categorical__order_city_Milan,-0.5805069325926774,0.5805069325926774
63,categorical__order_city_Dortmund,-0.577965272099353,0.577965272099353
64,categorical__order_city_Salvador,0.5636165884140429,0.5636165884140429
65,categorical__category_name_Lacrosse,0.5617054543618349,0.5617054543618349
66,categorical__order_city_Louisville,-0.5606874738697527,0.5606874738697527
67,categorical__order_city_Nice,-0.5594608032397296,0.5594608032397296
68,categorical__order_city_Nantes,0.5586909992546981,0.5586909992546981
69,categorical__order_city_San Luis Potosí,0.5507879879475033,0.5507879879475033
70,categorical__order_city_Amberes,-0.5490821909498838,0.5490821909498838
71,categorical__order_city_Brasília,0.5459171054535016,0.5459171054535016
72,categorical__order_city_Tokio,0.5454427462587018,0.5454427462587018
73,categorical__order_city_Shenzhen,-0.5409333814554176,0.5409333814554176
74,categorical__order_country_Polonia,-0.5391516011599311,0.5391516011599311
75,categorical__order_city_Gómez Palacio,0.5387825337989819,0.5387825337989819
76,categorical__category_name_Women's Golf Clubs,-0.538468399321383,0.538468399321383
77,categorical__order_city_Lisbon,-0.5329750557915464,0.5329750557915464
78,categorical__order_city_Lyon,-0.5321541513308239,0.5321541513308239
79,categorical__order_city_Curitiba,-0.5317234777240983,0.5317234777240983
